"1_HASH","2_REFACTORINGTYPE","3_OCORRIDO"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","ADD_CLASS_ANNOTATION","Add Class Annotation Add Class Annotation	@SuppressWarnings({""SameNameButDifferent"" ""NullableTypeParameter"" ""TruthSelfEquals""}) in class com.google.auto.value.AutoValueJava8Test"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_PARAMETER_TYPE","Change Parameter Type Change Parameter Type	rewrittenPropertyTypes : ImmutableMap<String TypeMirror> to rewrittenPropertyTypes : ImmutableMap<String AnnotatedTypeMirror> in method private BuilderMethodClassifierForAutoBuilder(errorReporter ErrorReporter  processingEnv ProcessingEnvironment  executable Executable  builtType TypeMirror  builderType TypeElement  paramToPropertyName ImmutableBiMap<VariableElement String>  rewrittenPropertyTypes ImmutableMap<String AnnotatedTypeMirror>  propertiesWithDefaults ImmutableSet<String>  nullables Nullables) from class com.google.auto.value.processor.BuilderMethodClassifierForAutoBuilder"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_PARAMETER_TYPE","Change Parameter Type Change Parameter Type	rewrittenPropertyTypes : ImmutableMap<String TypeMirror> to rewrittenPropertyTypes : ImmutableMap<String AnnotatedTypeMirror> in method private BuilderMethodClassifierForAutoValue(errorReporter ErrorReporter  processingEnv ProcessingEnvironment  builtType TypeMirror  builderType TypeElement  getterToPropertyName ImmutableBiMap<ExecutableElement String>  rewrittenPropertyTypes ImmutableMap<String AnnotatedTypeMirror>  nullables Nullables) from class com.google.auto.value.processor.BuilderMethodClassifierForAutoValue"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_PARAMETER_TYPE","Change Parameter Type Change Parameter Type	rewrittenPropertyTypes : ImmutableMap<String TypeMirror> to rewrittenPropertyTypes : ImmutableMap<String AnnotatedTypeMirror> in method package classify(methods Iterable<ExecutableElement>  errorReporter ErrorReporter  processingEnv ProcessingEnvironment  autoValueClass TypeElement  builderType TypeElement  getterToPropertyName ImmutableBiMap<ExecutableElement String>  rewrittenPropertyTypes ImmutableMap<String AnnotatedTypeMirror>  nullables Nullables  autoValueHasToBuilder boolean) : Optional<BuilderMethodClassifier<ExecutableElement>> from class com.google.auto.value.processor.BuilderMethodClassifierForAutoValue"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	rewrittenPropertyTypes : ImmutableMap.Builder<String TypeMirror> to rewrittenPropertyTypes : ImmutableMap.Builder<String AnnotatedTypeMirror> in method package defineVarsForAutoValue(vars AutoValueOrBuilderTemplateVars  getterToPropertyName ImmutableBiMap<ExecutableElement String>  nullables Nullables  consumedBuilderAbstractMethods ImmutableSet<ExecutableElement>) : void from class com.google.auto.value.processor.BuilderSpec.Builder"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	getterToPropertyType : ImmutableMap<ExecutableElement TypeMirror> to getterToPropertyType : ImmutableMap<ExecutableElement AnnotatedTypeMirror> in method package defineVarsForAutoValue(vars AutoValueOrBuilderTemplateVars  getterToPropertyName ImmutableBiMap<ExecutableElement String>  nullables Nullables  consumedBuilderAbstractMethods ImmutableSet<ExecutableElement>) : void from class com.google.auto.value.processor.BuilderSpec.Builder"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_ATTRIBUTE_TYPE","Change Attribute Type Change Attribute Type	propertyTypes : ImmutableMap<String TypeMirror> to propertyTypes : ImmutableMap<String AnnotatedTypeMirror> in class com.google.auto.value.processor.ExtensionContext"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_PARAMETER_TYPE","Change Parameter Type Change Parameter Type	propertyMethodsAndTypes : ImmutableMap<ExecutableElement TypeMirror> to propertyMethodsAndTypes : ImmutableMap<ExecutableElement AnnotatedTypeMirror> in method package ExtensionContext(autoValueProcessor AutoValueProcessor  processingEnvironment ProcessingEnvironment  autoValueClass TypeElement  properties ImmutableMap<String ExecutableElement>  propertyMethodsAndTypes ImmutableMap<ExecutableElement AnnotatedTypeMirror>  abstractMethods ImmutableSet<ExecutableElement>  builderAbstractMethods ImmutableSet<ExecutableElement>) from class com.google.auto.value.processor.ExtensionContext"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_PARAMETER_TYPE","Change Parameter Type Change Parameter Type	builderTypeMirror : TypeMirror to builderAnnotatedType : AnnotatedTypeMirror in method package PropertyBuilder(propertyBuilderMethod ExecutableElement  builderType String  nullableBuilderType String  builderAnnotatedType AnnotatedTypeMirror  build String  initializer String  beforeInitDefault String  initDefault String  builtToBuilder String  copyAll String) from class com.google.auto.value.processor.PropertyBuilderClassifier.PropertyBuilder"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","RENAME_PARAMETER","Rename Parameter Rename Parameter	builderTypeMirror : TypeMirror to builderAnnotatedType : AnnotatedTypeMirror in method package PropertyBuilder(propertyBuilderMethod ExecutableElement  builderType String  nullableBuilderType String  builderAnnotatedType AnnotatedTypeMirror  build String  initializer String  beforeInitDefault String  initDefault String  builtToBuilder String  copyAll String) from class com.google.auto.value.processor.PropertyBuilderClassifier.PropertyBuilder"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","RENAME_ATTRIBUTE","Rename Attribute Rename Attribute	builderTypeMirror : TypeMirror to builderAnnotatedType : AnnotatedTypeMirror in class com.google.auto.value.processor.PropertyBuilderClassifier.PropertyBuilder"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_ATTRIBUTE_TYPE","Change Attribute Type Change Attribute Type	builderTypeMirror : TypeMirror to builderAnnotatedType : AnnotatedTypeMirror in class com.google.auto.value.processor.PropertyBuilderClassifier.PropertyBuilder"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_ATTRIBUTE_TYPE","Change Attribute Type Change Attribute Type	propertyTypes : ImmutableMap<String TypeMirror> to propertyTypes : ImmutableMap<String AnnotatedTypeMirror> in class com.google.auto.value.processor.PropertyBuilderClassifier"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_PARAMETER_TYPE","Change Parameter Type Change Parameter Type	propertyTypes : ImmutableMap<String TypeMirror> to propertyTypes : ImmutableMap<String AnnotatedTypeMirror> in method package PropertyBuilderClassifier(errorReporter ErrorReporter  typeUtils Types  elementUtils Elements  builderMethodClassifier BuilderMethodClassifier<?>  propertyIsNullable Predicate<String>  propertyTypes ImmutableMap<String AnnotatedTypeMirror>  nullables Nullables) from class com.google.auto.value.processor.PropertyBuilderClassifier"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","REMOVE_PARAMETER","Remove Parameter Remove Parameter	eclipseHack : EclipseHack in method package PropertyBuilderClassifier(errorReporter ErrorReporter  typeUtils Types  elementUtils Elements  builderMethodClassifier BuilderMethodClassifier<?>  propertyIsNullable Predicate<String>  propertyTypes ImmutableMap<String TypeMirror>  eclipseHack EclipseHack  nullables Nullables) from class com.google.auto.value.processor.PropertyBuilderClassifier"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_OPERATION_ACCESS_MODIFIER","Change Method Access Modifier Change Method Access Modifier	package to private in method private encodeWithAnnotations(type TypeMirror  extraAnnotations ImmutableList<AnnotationMirror>  excludedAnnotationTypes Set<TypeMirror>) : String from class com.google.auto.value.processor.TypeEncoder"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_RETURN_TYPE","Change Return Type Change Return Type	ImmutableMap<ExecutableElement TypeMirror> to ImmutableMap<ExecutableElement AnnotatedTypeMirror> in method package rewriteReturnTypes(typeUtils Types  methods Collection<ExecutableElement>  sourceType TypeElement  targetType TypeElement) : ImmutableMap<ExecutableElement AnnotatedTypeMirror> from class com.google.auto.value.processor.TypeVariables"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	types : Map<ExecutableElement TypeMirror> to types : ImmutableMap<ExecutableElement AnnotatedTypeMirror> in method public noTypeParameters() : void from class com.google.auto.value.processor.TypeVariablesTest"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	types : Map<ExecutableElement TypeMirror> to types : ImmutableMap<ExecutableElement AnnotatedTypeMirror> in method public simpleTypeParameter() : void from class com.google.auto.value.processor.TypeVariablesTest"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	types : Map<ExecutableElement TypeMirror> to types : ImmutableMap<ExecutableElement AnnotatedTypeMirror> in method public hairyTypeParameters() : void from class com.google.auto.value.processor.TypeVariablesTest"
"7373b9893a976c1edc5f0cf184b83c3a5957c4e3","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	types : Map<ExecutableElement TypeMirror> to types : ImmutableMap<ExecutableElement AnnotatedTypeMirror> in method public nestedClasses() : void from class com.google.auto.value.processor.TypeVariablesTest"
"e20db259ac2d6b176e396639a7540cadec38a9aa","RENAME_METHOD","Rename Method Rename Method	private validElements(roundEnv RoundEnvironment) : ImmutableSetMultimap<TypeElement Element> renamed to private getWellFormedElementsByAnnotationType(roundEnv RoundEnvironment) : ImmutableSetMultimap<TypeElement Element> in class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","CHANGE_ATTRIBUTE_TYPE","Change Attribute Type Change Attribute Type	elementsDeferredBySteps : SetMultimap<Step ElementName> to elementsDeferredBySteps : SetMultimap<Step ElementFactory> in class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	parameterElement : Element to parameterElement : TypeParameterElement in method private findAnnotatedElements(element Element  annotationTypes ImmutableSet<TypeElement>  annotatedElements ImmutableSetMultimap.Builder<TypeElement Element>) : void from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","RENAME_PARAMETER","Rename Parameter Rename Parameter	validElements : ImmutableSetMultimap<TypeElement Element> to wellFormedElements : ImmutableSetMultimap<TypeElement Element> in method private process(wellFormedElements ImmutableSetMultimap<TypeElement Element>) : void from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	missingElementName : ElementName to missingElementFactory : ElementFactory in method private reportMissingElements(missingElementFactories Set<ElementFactory>) : void from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","CHANGE_PARAMETER_TYPE","Change Parameter Type Change Parameter Type	missingElementNames : Set<ElementName> to missingElementFactories : Set<ElementFactory> in method private reportMissingElements(missingElementFactories Set<ElementFactory>) : void from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	missingElement : Optional<? extends Element> to missingElement : Element in method private reportMissingElements(missingElementFactories Set<ElementFactory>) : void from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","RENAME_VARIABLE","Rename Variable Rename Variable	missingElementName : ElementName to missingElementFactory : ElementFactory in method private reportMissingElements(missingElementFactories Set<ElementFactory>) : void from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","RENAME_PARAMETER","Rename Parameter Rename Parameter	missingElementNames : Set<ElementName> to missingElementFactories : Set<ElementFactory> in method private reportMissingElements(missingElementFactories Set<ElementFactory>) : void from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","EXTRACT_VARIABLE","Extract Variable Extract Variable	enclosing : Element in method private getWellFormedElementsByAnnotationType(roundEnv RoundEnvironment) : ImmutableSetMultimap<TypeElement Element> from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","INLINE_VARIABLE","Inline Variable Inline Variable	prevRoundElements : ImmutableSet<Element> in method private validElements(roundEnv RoundEnvironment) : ImmutableSetMultimap<TypeElement Element> from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	prevDeferredElementNames : ImmutableSet<ElementName> to deferredEnclosingElementsCopy : ImmutableSet<ElementFactory> in method private getWellFormedElementsByAnnotationType(roundEnv RoundEnvironment) : ImmutableSetMultimap<TypeElement Element> from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	deferredElementName : ElementName to deferredElementFactory : ElementFactory in method private getWellFormedElementsByAnnotationType(roundEnv RoundEnvironment) : ImmutableSetMultimap<TypeElement Element> from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	validElementNames : Set<ElementName> to wellFormedPackageOrTypeElements : Set<ElementFactory> in method private getWellFormedElementsByAnnotationType(roundEnv RoundEnvironment) : ImmutableSetMultimap<TypeElement Element> from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	elementName : ElementName to enclosingFactory : ElementFactory in method private getWellFormedElementsByAnnotationType(roundEnv RoundEnvironment) : ImmutableSetMultimap<TypeElement Element> from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","CHANGE_VARIABLE_TYPE","Change Variable Type Change Variable Type	deferredElement : Optional<? extends Element> to deferredElement : Element in method private getWellFormedElementsByAnnotationType(roundEnv RoundEnvironment) : ImmutableSetMultimap<TypeElement Element> from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","RENAME_VARIABLE","Rename Variable Rename Variable	prevDeferredElementNames : ImmutableSet<ElementName> to deferredEnclosingElementsCopy : ImmutableSet<ElementFactory> in method private getWellFormedElementsByAnnotationType(roundEnv RoundEnvironment) : ImmutableSetMultimap<TypeElement Element> from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","RENAME_VARIABLE","Rename Variable Rename Variable	deferredElementName : ElementName to deferredElementFactory : ElementFactory in method private getWellFormedElementsByAnnotationType(roundEnv RoundEnvironment) : ImmutableSetMultimap<TypeElement Element> from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","RENAME_VARIABLE","Rename Variable Rename Variable	deferredElementsByAnnotationBuilder : ImmutableSetMultimap.Builder<TypeElement Element> to prevIllFormedElementsBuilder : ImmutableSetMultimap.Builder<TypeElement Element> in method private getWellFormedElementsByAnnotationType(roundEnv RoundEnvironment) : ImmutableSetMultimap<TypeElement Element> from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","RENAME_VARIABLE","Rename Variable Rename Variable	deferredElementsByAnnotation : ImmutableSetMultimap<TypeElement Element> to prevIllFormedElements : ImmutableSetMultimap<TypeElement Element> in method private getWellFormedElementsByAnnotationType(roundEnv RoundEnvironment) : ImmutableSetMultimap<TypeElement Element> from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","RENAME_VARIABLE","Rename Variable Rename Variable	validElementNames : Set<ElementName> to wellFormedPackageOrTypeElements : Set<ElementFactory> in method private getWellFormedElementsByAnnotationType(roundEnv RoundEnvironment) : ImmutableSetMultimap<TypeElement Element> from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","RENAME_VARIABLE","Rename Variable Rename Variable	elementName : ElementName to enclosingFactory : ElementFactory in method private getWellFormedElementsByAnnotationType(roundEnv RoundEnvironment) : ImmutableSetMultimap<TypeElement Element> from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","RENAME_VARIABLE","Rename Variable Rename Variable	isValidElement : boolean to isWellFormedElement : boolean in method private getWellFormedElementsByAnnotationType(roundEnv RoundEnvironment) : ImmutableSetMultimap<TypeElement Element> from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","RENAME_VARIABLE","Rename Variable Rename Variable	validElements : ImmutableSetMultimap.Builder<TypeElement Element> to wellFormedElementsBuilder : ImmutableSetMultimap.Builder<TypeElement Element> in method private getWellFormedElementsByAnnotationType(roundEnv RoundEnvironment) : ImmutableSetMultimap<TypeElement Element> from class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","RENAME_ATTRIBUTE","Rename Attribute Rename Attribute	elements : Elements to elementUtils : Elements in class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","RENAME_ATTRIBUTE","Rename Attribute Rename Attribute	deferredElementNames : Set<ElementName> to deferredEnclosingElements : Set<ElementFactory> in class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","CHANGE_ATTRIBUTE_TYPE","Change Attribute Type Change Attribute Type	deferredElementNames : Set<ElementName> to deferredEnclosingElements : Set<ElementFactory> in class com.google.auto.common.BasicAnnotationProcessor"
"e20db259ac2d6b176e396639a7540cadec38a9aa","RENAME_METHOD","Rename Method Rename Method	public properlyDefersProcessing_rejectsElement() : void renamed to public properlyDefersProcessing_stepAndIllFormedRejectingExecutableElements() : void in class com.google.auto.common.BasicAnnotationProcessorTest"
"e20db259ac2d6b176e396639a7540cadec38a9aa","EXTRACT_OPERATION","Extract Method Extract Method	private requiresGeneratedCodeDeferralTest(dependentTestFileObject JavaFileObject  generatesCodeFileObject JavaFileObject) : void extracted from public properlyDefersProcessing_typeElement() : void in class com.google.auto.common.BasicAnnotationProcessorTest"
